id,name,address,district,province
1958745,"Biệt thự 600 m² 3 phòng ngủ, 3 phòng tắm riêng ở Hòa Hải (Goft view 3 bedrooms villa)","Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng , Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1958770,"Chung cư 67 m² 2 phòng ngủ, 2 phòng tắm riêng ở Phước Mỹ (2BR MUONG THANH SEAVIEW)","270 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng , Võ Nguyên Giáp, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1959035,Times Hotel,"67 Lương Định Của, Khuê Trung, Cẩm Lệ, Đà Nẵng, Lương Định Của, Quận Cẩm Lệ, Đà Nẵng, Việt Nam",Quận Cẩm Lệ,Đà Nẵng
1959150,The Yen Residences Danang,"12, Tổ 12, Phước Mỹ, Hà Bổng, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1959204,Nhật Linh ATP Galaxy,"89 Trần Phước Thành, Khuê Trung, Cẩm Lệ, Đà Nẵng, Trần Phước Thành, Quận Cẩm Lệ, Đà Nẵng, Việt Nam",Quận Cẩm Lệ,Đà Nẵng
1959357,Kua Casa Suite,"28 Đỗ Thế Chấp, Phước Mỹ, Sơn Trà, Đà Nẵng , Đỗ Thế Chấp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1959382,Oriental Danang,"229 Đ Nguyễn Văn Linh, Vĩnh Trung, Thanh Khê, Đà Nẵng, Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam",Quận Thanh Khê,Đà Nẵng
1975135,Maha Mangala Hotel & Resort,"J02 The Ocean Villas, Trường Sa, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975219,Sunset Sea Hotel,"16 Loseby, Phước Mỹ, Sơn Trà, Đà Nẵng , Loseby, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1975221,Han Riverine Hotel & Cafeteria DaNang,"66 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng , Bạch Đằng, Quận Hải Châu, Đà Nẵng, Việt Nam",Quận Hải Châu,Đà Nẵng
1975222,Sea Near Me Hotel Danang,"42 Đường An Thượng 26, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng, An Thượng 26, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975275,Pansy Beach Dana,"33-34 Đ. Đỗ Bá, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng, Đỗ Bí , Bắc Mỹ Phú, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975276,Khách sạn & Spa Grand Sea View (Grand Sea View Hotel & Spa),"121 Hoàng Kế Viêm, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Hoàng Kế Viêm, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975279,Palazzo Boutique Hotel,"244 - 246 Trần Bạch Đằng, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Trần Bạch Đằng, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975281,RHM HOTEL,"95 My An 18 Street, Bac My An Ward, Ngu Hanh Son District, Da Nang City, Vietnam",Quận Ngũ Hành Sơn,Đà Nẵng
1975283,Khách sạn & Căn hộ Taian (Taian Hotel & Apartment),"27 Đường An Thượng 34, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, An Thượng 34, Bắc Mỹ Phú, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975285,Khách sạn Hoài Cổ,"11 Hồ Xuân Hương, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Hồ Xuân Hương, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975288,Khách sạn và Căn hộ Halina,"158 Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 50507, Trần Bạch Đằng, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975293,THE OCEAN RESORT,"Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Trường Sa, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975295,Adaline Hotel & Suite,"45 Võ Văn Kiệt, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Võ Văn Kiệt, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1975296,Menora Grand Da Nang,"69-71-73 Đỗ Bí, Bắc Mỹ Phú, Sơn Trà, Đà Nẵng , Đỗ Bí, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1975298,IBIZA Riverfront Hotel Da Nang,"205 Đ. Trần Hưng Đạo, An Hải Bắc, Sơn Trà, Đà Nẵng , Trần Hưng Đạo, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1975331,Khách Sạn & Spa Sofiana Mỹ Khê ,"56 Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Trần Bạch Đằng, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975345,Khách Sạn Bãi Biển Serene,"274 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Võ Nguyên Giáp, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975346,Da Nang Merry Land Hotel,"Phạm Văn Đồng, An Hải Bắc, Sơn Trà, Đà Nẵng 550000, Phạm Văn Đồng, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1975352,M Suite Danang,"Lot 08, Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1975359,M92 Boutique Da Nang Beach Hotel,"1 Nguyễn Cao Luyện, An Hải, Sơn Trà, Đà Nẵng , Nguyễn Cao Luyện, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1975363,Daisy Boutique Hotel and Apartment,"67 Chế Lan Viên, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Chế Lan Viên, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975365,SAMATHA APARTMENT & HOTEL,"36 Lê Lộ, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Lê Lộ, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975368,TA Boutique Hotel,"38 Hoàng Kế Viêm, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng , Hoàng Kế Viêm, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975403,Le Cap Hotel & Apartment ,16 Đặng Vũ Hỷ,Quận Sơn Trà,Đà Nẵng
1975404,LUK Inn Hotel,"12, An Thượng 4, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1975407,Gemma Hotel & Apartment,"183, Võ Văn Kiệt, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1975476,Fusion Resort & Villas Da Nang - Wellness Inclusive,"Truong Sa, Ngu Hanh Son ward",Quận Ngũ Hành Sơn,Đà Nẵng
